decade,avg_rating_mean,avg_rating_std,n_movies_rated,total_ratings,avg_ratings_per_movie,n_movies
1870,4.0,0.70710677,2,3,1.5,2
1880,1.75,1.767767,2,2,1.0,2
1890,2.6904762,1.1109915,35,42,1.2,35
1900,3.298201,0.8829981,45,84,1.8666666666666667,45
1910,3.0115986,0.8110976,68,126,1.8529411764705883,68
1920,3.4090457,0.8481268,185,1516,8.194594594594594,185
1930,3.3139856,0.8462044,528,7165,13.570075757575758,528
1940,3.3659678,0.78076947,688,11257,16.361918604651162,688
1950,3.3221412,0.8433675,940,19044,20.259574468085106,940
1960,3.3280654,0.8622498,1252,27376,21.86581469648562,1252
1970,3.2374582,0.89172477,1634,48690,29.798041615667074,1634
1980,3.0933099,0.83281463,2301,119303,51.84832681442851,2301
1990,3.1504889,0.7999704,3619,343201,94.83310306714561,3619
2000,3.159564,0.8380383,6006,274169,45.64918414918415,6006
2010,3.1533427,0.95041084,8077,138344,17.128141636746317,8077
2020,3.0940325,0.95776,1574,7604,4.8310038119440915,1574
