genre,avg_rating,n_ratings,rating_std,median_rating,n_movies
Film-Noir,3.9202929,9491,0.9228084901856827,4.0,225
War,3.795786,50070,0.9979998654046153,4.0,951
Documentary,3.6992726,13060,1.021746210239958,4.0,2045
Crime,3.6967266,168663,1.0139274020413553,4.0,2748
Drama,3.68363,437072,1.0037859285146467,4.0,12178
Mystery,3.6758015,81464,1.0141608576311976,4.0,1501
Animation,3.6141622,68683,1.0465724893428165,4.0,1679
IMAX,3.6042187,45985,1.0636164930772558,4.0,179
Western,3.5929449,18710,1.0166151022606902,4.0,481
Musical,3.5498765,36420,1.0612525069955576,4.0,668
Romance,3.544151,172657,1.0558615423281408,4.0,3738
Thriller,3.5351343,271402,1.0413903662240274,3.5,4595
Adventure,3.5251315,237870,1.075340961301427,3.5,2385
Fantasy,3.5149279,114785,1.0967401668067387,3.5,1646
Sci-Fi,3.4959881,177969,1.0904621917931263,3.5,2057
Action,3.479102,301201,1.0769130534972973,3.5,3731
Children,3.433542,85505,1.1033719297732507,3.5,1561
Comedy,3.4302268,349461,1.0880625194008162,3.5,8426
Horror,3.3074384,77274,1.1373558847730583,3.5,2941
