movieId,n_ratings,avg_rating,rating_std,median_rating,n_users,first_rated,last_rated,title,genres,release_year,title_clean,rating_span_days,weighted_rating,decade,movie_age
163809,37,4.5945945,0.5873414424080511,5.0,37,2016-10-23 20:55:25,2023-07-05 02:33:37,Over the Garden Wall (2013),Adventure|Animation|Drama,2013.0,Over the Garden Wall,2445,,2010,10.0
127098,40,4.475,0.5986094998689324,4.5,40,2015-01-31 23:16:13,2022-04-10 09:37:09,Louis C.K.: Live at The Comedy Store (2015),Comedy,2015.0,Louis C.K.: Live at The Comedy Store,2625,,2010,8.0
179135,32,4.453125,0.9618478100393114,5.0,32,2018-02-04 21:19:34,2023-03-08 20:17:54,Blue Planet II (2017),Documentary,2017.0,Blue Planet II,1857,,2010,6.0
159817,91,4.423077,0.7487881948079583,4.5,91,2016-06-24 23:07:23,2023-07-18 15:54:53,Planet Earth (2006),Documentary,2006.0,Planet Earth,2579,,2000,17.0
160289,20,4.35,0.6091408963277275,4.5,20,2016-07-03 23:39:49,2023-04-23 02:55:36,O.J.: Made in America (2016),Documentary,2016.0,O.J.: Made in America,2484,,2010,7.0
170705,77,4.337662,0.9156589460801269,4.5,77,2017-04-06 12:37:32,2023-03-20 01:21:51,Band of Brothers (2001),Action|Drama|War,2001.0,Band of Brothers,2173,,2000,22.0
171011,54,4.3333335,1.0815781621106804,5.0,54,2017-09-06 10:32:18,2023-02-17 02:32:56,Planet Earth II (2016),Documentary,2016.0,Planet Earth II,1989,,2010,7.0
101962,29,4.3103447,0.5576384053605032,4.5,29,2014-03-17 01:38:52,2023-07-17 16:38:18,Wolf Children (Okami kodomo no ame to yuki) (2012),Animation|Fantasy,2012.0,Wolf Children (Okami kodomo no ame to yuki),3409,,2010,11.0
2575,32,4.296875,0.6939760965484656,4.0,32,1999-07-05 22:02:44,2018-11-11 14:02:25,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",Drama,1998.0,"Dreamlife of Angels, The (Vie rêvée des anges, La)",7068,,1990,25.0
142115,39,4.294872,0.7137553457993994,4.5,39,2016-05-04 01:59:09,2022-08-09 00:56:29,The Blue Planet (2001),Documentary,2001.0,The Blue Planet,2287,,2000,22.0
170355,48,4.2604165,0.6522431289716897,4.5,48,2017-03-22 13:46:20,2023-07-18 20:41:48,Mulholland Dr. (1999),Drama|Mystery|Romance,1999.0,Mulholland Dr.,2309,,1990,24.0
3677,53,4.254717,0.7180545398548049,4.5,53,2000-05-28 02:29:59,2021-09-24 13:26:08,Baraka (1992),Documentary,1992.0,Baraka,7789,,1990,31.0
7505,20,4.25,0.7344887229975191,4.5,20,2010-03-21 16:39:46,2020-07-18 03:54:19,"Kingdom, The (Riget) (1994)",Drama|Horror|Mystery,1994.0,"Kingdom, The (Riget)",3771,,1990,29.0
184257,23,4.2173915,0.5997364375010101,4.0,23,2018-06-22 16:48:33,2022-12-22 19:29:35,Making a Murderer (2015),Crime|Documentary,2015.0,Making a Murderer,1644,,2010,8.0
2624,23,4.2173915,0.8767979833218781,4.5,23,1999-10-19 04:42:02,2023-01-23 20:43:39,After Life (Wandafuru raifu) (1998),Drama|Fantasy,1998.0,After Life (Wandafuru raifu),8497,,1990,25.0
27741,21,4.214286,0.6239276514834989,4.5,21,2005-01-24 01:49:35,2021-04-28 20:21:41,"Twilight Samurai, The (Tasogare Seibei) (2002)",Drama|Romance,2002.0,"Twilight Samurai, The (Tasogare Seibei)",5938,,2000,21.0
