year_month,avg_rating,n_ratings,n_users,n_movies
1996-01,4.0,2,2,2
1996-02,3.7777777,18,13,17
1996-03,3.9969788,331,191,157
1996-04,3.822335,1773,1040,262
1996-05,3.5103345,5951,2881,467
1996-06,3.5180573,8113,3598,496
1996-07,3.5267284,7015,3184,480
1996-08,3.4967232,6561,3006,509
1996-09,3.521233,4639,2200,494
1996-10,3.576221,6081,2788,643
1996-11,3.5778697,5811,2627,698
1996-12,3.638583,4629,2095,815
1997-01,3.5763602,3621,1677,767
1997-02,3.616644,2199,1053,666
1997-03,3.6099906,3223,1466,721
1997-04,3.5804372,2791,1237,727
1997-05,3.5891573,3062,1373,753
1997-06,3.5735848,2650,1182,689
1997-07,3.6133769,1839,818,595
1997-09,3.6841216,592,204,367
1997-10,3.5585585,666,251,414
1997-11,3.554918,1220,443,583
1997-12,3.5432475,659,242,409
1998-01,3.4511378,747,283,444
1998-02,3.383659,563,188,394
1998-03,3.522895,677,279,404
1998-04,3.5508475,590,239,381
1998-05,3.4832401,358,176,240
1998-06,3.5068183,440,178,300
1998-07,3.5562298,2472,728,937
1998-08,3.5583127,1209,373,669
1998-09,3.478188,596,196,421
1998-10,3.4753695,406,148,317
1998-11,3.5983436,483,148,373
1998-12,3.5020201,990,299,630
1999-01,3.4885788,788,231,546
1999-02,3.6158192,531,155,408
1999-03,3.5875487,257,95,228
1999-04,3.4705882,459,133,366
1999-05,3.4491315,403,122,330
1999-06,3.616622,373,109,301
1999-07,3.4772036,329,112,274
1999-08,3.5,364,121,303
1999-09,3.5885417,960,386,565
1999-10,3.6602225,10966,2866,1713
1999-11,3.6199584,7215,1894,1700
1999-12,3.6056256,13936,3420,2068
2000-01,3.588302,5300,1649,1643
2000-02,3.62759,3813,1244,1465
2000-03,3.5735607,4690,1348,1677
2000-04,3.6221776,5492,1647,1733
2000-05,3.5963144,3473,1040,1455
2000-06,3.578229,2857,915,1348
2000-07,3.5831716,4635,1340,1704
2000-08,3.5570278,7698,1805,2117
2000-09,3.5913794,2320,720,1231
2000-10,3.590842,2031,649,1142
2000-11,3.53343,12399,3180,2443
2000-12,3.5361166,5150,1418,1841
2001-01,3.5387418,4117,1301,1705
2001-02,3.5846093,2547,916,1264
2001-03,3.499551,2228,759,1211
2001-04,3.5741293,2010,671,1168
2001-05,3.5279126,1648,617,1026
2001-06,3.5120246,4865,1414,1774
2001-07,3.5204754,4713,1350,1834
2001-08,3.5233176,3388,1013,1588
2001-09,3.5185816,2933,854,1460
2001-10,3.5536096,2341,886,1222
2001-11,3.5402615,2906,1047,1454
2001-12,3.5779884,2744,918,1422
2002-01,3.5157557,3110,1108,1596
2002-02,3.4887006,2478,886,1346
2002-03,3.543927,2083,778,1264
2002-04,3.3977273,2816,885,1515
2002-05,3.4961538,2080,676,1297
2002-06,3.5225177,1843,669,1145
2002-07,3.4525511,1960,702,1283
2002-08,3.3468158,2324,692,1412
2002-09,3.427874,1844,621,1159
2002-10,3.4117334,1875,713,1174
2002-11,3.4990916,2202,758,1300
2002-12,3.475299,2510,753,1482
2003-01,3.567053,3624,1203,1703
2003-02,3.5046694,2784,994,1470
2003-03,3.4782894,3063,967,1608
2003-04,3.4910755,2185,729,1285
2003-05,3.455851,2820,913,1544
2003-06,3.4560885,2710,856,1503
2003-07,3.505932,2950,900,1574
2003-08,3.441445,2408,758,1447
2003-09,3.4401546,2331,779,1357
2003-10,3.4593723,2326,826,1292
2003-11,3.4865758,2421,828,1337
2003-12,3.4943233,2290,820,1325
2004-01,3.4727273,3025,979,1648
2004-02,3.456012,3967,1248,1807
2004-03,3.4231222,3408,1049,1599
2004-04,3.4623506,2510,791,1410
2004-05,3.42002,2982,922,1547
2004-06,3.4572306,2607,835,1467
2004-07,3.3871307,2844,849,1474
2004-08,3.3577063,3296,922,1650
2004-09,3.3825352,2903,849,1465
2004-10,3.4252853,2717,849,1395
2004-11,3.4618752,2741,906,1468
2004-12,3.4479167,2400,802,1346
2005-01,3.4118698,4204,1199,1799
2005-02,3.4309947,4333,1064,1895
2005-03,3.3803961,10702,2555,2675
