tag,n_uses,avg_rating,rating_std,n_movies,n_users,is_positive,is_negative
complex,11,4.7272725,0.41009976613236215,70,311,False,False
marlon brando,12,4.7083335,0.5418123347254159,25,188,False,False
notable soundtrack,25,4.64,0.6041522986797286,41,428,False,False
good dialogue,26,4.6153846,0.739022223044643,86,623,False,False
masterpiece,29,4.6034484,0.6032547191341611,132,718,True,False
gene wilder,11,4.590909,0.49082490860702155,11,115,False,False
great cast,13,4.576923,0.3443686158605972,53,213,True,False
intellectual,33,4.560606,0.6343990236531903,83,675,False,False
unpredictable,33,4.560606,0.4801948783693149,107,699,False,False
hayao miyazaki,26,4.5576925,0.5352928745448247,15,423,False,False
excellent script,29,4.551724,0.540251720202968,25,654,True,False
great ending,59,4.5508475,0.5144038670136503,67,877,True,False
nonlinear,69,4.5507245,0.5566769018564796,143,1350,False,False
classic sci-fi,11,4.5454545,0.7891307069980693,9,388,False,False
mind games,11,4.5454545,0.6875516509523286,36,148,False,False
owned,17,4.529412,0.4496730838653134,420,30,False,False
complicated,48,4.5104165,0.5695237216337402,50,852,False,False
great acting,124,4.5080647,0.5594126964143021,380,1772,True,False
powerful ending,27,4.5,0.8320502943378436,24,699,False,False
charlie kaufman,13,4.5,0.577350269189626,9,193,False,False
photography,16,4.5,0.48304589153964794,232,350,False,False
amazing cinematography,10,4.5,0.8819171036881969,38,212,True,False
epic adventure,13,4.5,0.67700320038633,19,254,False,False
great dialogue,22,4.4772725,0.4994585813246924,58,539,True,False
beautifully filmed,16,4.46875,0.6700435309241731,75,710,True,False
complex characters,16,4.46875,0.46435439052516775,66,401,False,False
thought provoking,16,4.46875,0.5618051263561058,91,446,False,False
heath ledger,13,4.4615383,0.877058019307029,15,401,False,False
good music,12,4.4583335,0.5822500764406575,63,222,False,False
magical realism,11,4.4545455,0.6501748016704991,120,320,False,False
tolkien,11,4.4545455,0.650174801670499,11,222,False,False
life,11,4.4545455,0.7229988054812213,155,141,False,False
inspirational,91,4.4505496,0.7073225928140925,244,1520,False,False
existential,10,4.45,0.864420165325996,96,305,False,False
